"type","chr","start","end","id","name"
"mirna","chr1",12191752,12191773,"MIMAT0019688","hsa-mir-4632-3p"
"mirna","chr1",12191713,12191735,"MIMAT0022977","hsa-mir-4632-5p"
"mirna_primary_transcript","chr1",12578957,12579023,"MI0022575","hsa-mir-6730"
"mirna","chr1",12578996,12579018,"MIMAT0027361","hsa-mir-6730-5p"
"mirna","chr1",12578958,12578979,"MIMAT0027362","hsa-mir-6730-3p"
"mirna_primary_transcript","chr1",16858949,16859021,"MI0016076","hsa-mir-3675"
"mirna","chr1",16858988,16859010,"MIMAT0018098","hsa-mir-3675-5p"
"mirna","chr1",16858958,16858979,"MIMAT0018099","hsa-mir-3675-3p"
"mirna","chr1",17277948,17277969,"MIMAT0019357","hsa-mir-3972"
"mirna_primary_transcript","chr1",18883202,18883275,"MI0017328","hsa-mir-4695"
"mirna","chr1",18883250,18883271,"MIMAT0019788","hsa-mir-4695-5p"
"mirna","chr1",18883204,18883225,"MIMAT0019789","hsa-mir-4695-3p"
"mirna","chr1",18897078,18897096,"MIMAT0005880","hsa-mir-1290"
"mirna","chr1",20633756,20633775,"MIMAT0023709","hsa-mir-6084"
"mirna","chr1",20988377,20988398,"MIMAT0005907","hsa-mir-1256"
"mirna","chr1",22266277,22266294,"MIMAT0018930","hsa-mir-4418"
"mirna","chr1",22633328,22633346,"MIMAT0024610","hsa-mir-6127"
"mirna_primary_transcript","chr1",22719517,22719598,"MI0017316","hsa-mir-4684"
"mirna","chr1",22719530,22719551,"MIMAT0019769","hsa-mir-4684-5p"
"mirna","chr1",22719566,22719587,"MIMAT0019770","hsa-mir-4684-3p"
"mirna","chr1",22863169,22863186,"MIMAT0016882","hsa-mir-4253"
"mirna","chr1",23044310,23044329,"MIMAT0014977","hsa-mir-3115"
"mirna","chr1",23929121,23929140,"MIMAT0018932","hsa-mir-378f"
"mirna_primary_transcript","chr1",24919345,24919416,"MI0022576","hsa-mir-6731"
"mirna","chr1",24919390,24919411,"MIMAT0027363","hsa-mir-6731-5p"
"mirna","chr1",24919345,24919365,"MIMAT0027364","hsa-mir-6731-3p"
"mirna","chr1",25023552,25023573,"MIMAT0018940","hsa-mir-4425"
"mirna","chr1",25906384,25906403,"MIMAT0018191","hsa-mir-3917"
"mirna","chr1",26554574,26554593,"MIMAT0009451","hsa-mir-1976"
"mirna","chr1",30739158,30739179,"MIMAT0018933","hsa-mir-4420"
"mirna","chr1",31758670,31758692,"MIMAT0016884","hsa-mir-4254"
"mirna_primary_transcript","chr1",32086949,32087007,"MI0019142","hsa-mir-5585"
"mirna","chr1",32086949,32086970,"MIMAT0022285","hsa-mir-5585-5p"
"mirna","chr1",32086986,32087007,"MIMAT0022286","hsa-mir-5585-3p"
"mirna_primary_transcript","chr1",33332393,33332492,"MI0015995","hsa-mir-3605"
"mirna","chr1",33332449,33332471,"MIMAT0017981","hsa-mir-3605-5p"
"mirna","chr1",33332405,33332427,"MIMAT0017982","hsa-mir-3605-3p"
"mirna_primary_transcript","chr1",34669599,34669694,"MI0003557","hsa-mir-552"
"mirna","chr1",34669614,34669634,"MIMAT0003215","hsa-mir-552-3p"
"mirna","chr1",34669650,34669670,"MIMAT0026615","hsa-mir-552-5p"
"mirna","chr1",37161573,37161589,"MIMAT0016885","hsa-mir-4255"
"mirna_primary_transcript","chr1",37480230,37480289,"MI0022577","hsa-mir-6732"
"mirna","chr1",37480235,37480254,"MIMAT0027365","hsa-mir-6732-5p"
"mirna","chr1",37480267,37480289,"MIMAT0027366","hsa-mir-6732-3p"
"mirna_primary_transcript","chr1",37500935,37500994,"MI0019136","hsa-mir-5581"
"mirna","chr1",37500973,37500994,"MIMAT0022275","hsa-mir-5581-5p"
"mirna","chr1",37500935,37500956,"MIMAT0022276","hsa-mir-5581-3p"
"mirna","chr1",38089289,38089309,"MIMAT0018080","hsa-mir-3659"
"mirna_primary_transcript","chr1",40754355,40754446,"MI0000749","hsa-mir-30e"
"mirna","chr1",40754371,40754392,"MIMAT0000692","hsa-mir-30e-5p"
"mirna","chr1",40754413,40754434,"MIMAT0000693","hsa-mir-30e-3p"
"mirna_primary_transcript","chr1",40757284,40757372,"MI0000736","hsa-mir-30c-1"
"mirna","chr1",40757339,40757360,"MIMAT0004674","hsa-mir-30c-1-3p"
"mirna_primary_transcript","chr1",43171652,43171712,"MI0022578","hsa-mir-6733"
"mirna","chr1",43171686,43171707,"MIMAT0027367","hsa-mir-6733-5p"
"mirna","chr1",43171652,43171671,"MIMAT0027368","hsa-mir-6733-3p"
"mirna_primary_transcript","chr1",43364648,43364715,"MI0022579","hsa-mir-6734"
"mirna","chr1",43364688,43364710,"MIMAT0027369","hsa-mir-6734-5p"
"mirna","chr1",43364648,43364670,"MIMAT0027370","hsa-mir-6734-3p"
"mirna_primary_transcript","chr1",43448539,43448611,"MI0022580","hsa-mir-6735"
"mirna","chr1",43448544,43448568,"MIMAT0027371","hsa-mir-6735-5p"
"mirna","chr1",43448590,43448611,"MIMAT0027372","hsa-mir-6735-3p"
"mirna","chr1",43838657,43838680,"MIMAT0023704","hsa-mir-6079"
"mirna_primary_transcript","chr1",44545493,44545552,"MI0019141","hsa-mir-5584"
"mirna","chr1",44545493,44545514,"MIMAT0022283","hsa-mir-5584-5p"
"mirna","chr1",44545531,44545552,"MIMAT0022284","hsa-mir-5584-3p"
"mirna","chr1",51059879,51059900,"MIMAT0018934","hsa-mir-4421"
"mirna_primary_transcript","chr1",51060018,51060103,"MI0022211","hsa-mir-6500"
"mirna","chr1",51060031,51060054,"MIMAT0025454","hsa-mir-6500-5p"
"mirna","chr1",51060072,51060092,"MIMAT0025455","hsa-mir-6500-3p"
"mirna","chr1",51836375,51836396,"MIMAT0010364","hsa-mir-761"
"mirna_primary_transcript","chr1",54054079,54054154,"MI0017426","hsa-mir-4781"
"mirna","chr1",54054091,54054111,"MIMAT0019942","hsa-mir-4781-5p"
"mirna","chr1",54054124,54054145,"MIMAT0019943","hsa-mir-4781-3p"
"mirna","chr1",55225656,55225676,"MIMAT0018935","hsa-mir-4422"
"mirna_primary_transcript","chr1",59733227,59733296,"MI0017345","hsa-mir-4711"
"mirna","chr1",59733269,59733291,"MIMAT0019816","hsa-mir-4711-5p"
"mirna","chr1",59733235,59733252,"MIMAT0019817","hsa-mir-4711-3p"
"mirna","chr1",61846140,61846161,"MIMAT0049026","hsa-mir-12132"
"mirna_primary_transcript","chr1",62078786,62078859,"MI0014128","hsa-mir-3116-1"
"mirna_primary_transcript","chr1",62078789,62078856,"MI0014129","hsa-mir-3116-2"
"mirna","chr1",63326964,63326984,"MIMAT0023693","hsa-mir-6068"
"mirna","chr1",64579855,64579876,"MIMAT0019967","hsa-mir-4794"
"mirna","chr1",65057762,65057783,"MIMAT0018094","hsa-mir-3671"
"mirna_primary_transcript","chr1",65058434,65058508,"MI0000103","hsa-mir-101-1"
"mirna","chr1",65058477,65058498,"MIMAT0004513","hsa-mir-101-5p"
"mirna_primary_transcript","chr1",66628440,66628517,"MI0014130","hsa-mir-3117"
"mirna","chr1",66628485,66628505,"MIMAT0014979","hsa-mir-3117-3p"
"mirna","chr1",66628452,66628471,"MIMAT0019197","hsa-mir-3117-5p"
"mirna","chr1",68183576,68183597,"MIMAT0005914","hsa-mir-1262"
"mirna_primary_transcript","chr1",71067631,71067716,"MI0000483","hsa-mir-186"
"mirna","chr1",71067681,71067702,"MIMAT0000456","hsa-mir-186-5p"
"mirna","chr1",71067642,71067663,"MIMAT0004612","hsa-mir-186-3p"
"mirna_primary_transcript","chr1",77060143,77060202,"MI0023616","hsa-mir-7156"
"mirna","chr1",77060143,77060165,"MIMAT0028222","hsa-mir-7156-5p"
"mirna","chr1",77060180,77060202,"MIMAT0028223","hsa-mir-7156-3p"
"mirna_primary_transcript","chr1",85133794,85133873,"MI0016760","hsa-mir-4423"
"mirna","chr1",85133806,85133827,"MIMAT0019232","hsa-mir-4423-5p"
"mirna","chr1",85133842,85133862,"MIMAT0018936","hsa-mir-4423-3p"
"mirna_primary_transcript","chr1",86357632,86357687,"MI0025526","hsa-mir-7856"
"mirna","chr1",86357665,86357685,"MIMAT0030431","hsa-mir-7856-5p"
"mirna","chr1",93846880,93846899,"MIMAT0004957","hsa-mir-760"
"mirna","chr1",94543754,94543775,"MIMAT0049027","hsa-mir-12133"
"mirna_primary_transcript","chr1",98045242,98045351,"MI0012063","hsa-mir-2682"
"mirna","chr1",98045307,98045329,"MIMAT0013517","hsa-mir-2682-5p"
"mirna","chr1",98045271,98045292,"MIMAT0013518","hsa-mir-2682-3p"
"mirna_primary_transcript","chr1",98046070,98046171,"MI0000454","hsa-mir-137"
"mirna","chr1",98046091,98046113,"MIMAT0000429","hsa-mir-137-3p"
"mirna","chr1",98046127,98046149,"MIMAT0037310","hsa-mir-137-5p"
"mirna","chr1",100281256,100281276,"MIMAT0003216","hsa-mir-553"
"mirna_primary_transcript","chr1",107897223,107897304,"MI0025522","hsa-mir-7852"
"mirna","chr1",107897282,107897303,"MIMAT0030427","hsa-mir-7852-3p"
"mirna_primary_transcript","chr1",109598893,109598967,"MI0000239","hsa-mir-197"
"mirna","chr1",109598940,109598961,"MIMAT0000227","hsa-mir-197-3p"
"mirna","chr1",109598901,109598923,"MIMAT0022691","hsa-mir-197-5p"
"mirna","chr1",112461806,112461823,"MIMAT0016877","hsa-mir-4256"
"mirna","chr1",112882060,112882081,"MIMAT0044656","hsa-mir-11399"
"mirna","chr1",116560038,116560059,"MIMAT0018938","hsa-mir-548ac"
"mirna_primary_transcript","chr1",116671746,116671817,"MI0003776","hsa-mir-320b-1"
"mirna_primary_transcript","chr1",117094643,117094728,"MI0005767","hsa-mir-942"
"mirna","chr1",117094655,117094676,"MIMAT0004985","hsa-mir-942-5p"
"mirna","chr1",117094695,117094716,"MIMAT0026734","hsa-mir-942-3p"
"mirna_primary_transcript","chr1",145850587,145850645,"MI0022581","hsa-mir-6736"
"mirna","chr1",145850620,145850640,"MIMAT0027373","hsa-mir-6736-5p"
"mirna","chr1",145850587,145850607,"MIMAT0027374","hsa-mir-6736-3p"
"mirna","chr1",148334522,148334544,"MIMAT0021079","hsa-mir-5087"
"mirna","chr1",148388294,148388314,"MIMAT0023702","hsa-mir-6077"
"mirna_primary_transcript","chr1",150492345,150492410,"MI0022725","hsa-mir-6878"
"mirna","chr1",150492350,150492372,"MIMAT0027656","hsa-mir-6878-5p"
"mirna","chr1",150492390,150492410,"MIMAT0027657","hsa-mir-6878-3p"
"mirna","chr1",150551987,150552004,"MIMAT0016878","hsa-mir-4257"
"mirna","chr1",151545811,151545831,"MIMAT0003217","hsa-mir-554"
"mirna","chr1",153689763,153689783,"MIMAT0031010","hsa-mir-8083"
"mirna_primary_transcript","chr1",153962351,153962420,"MI0022582","hsa-mir-6737"
"mirna","chr1",153962395,153962415,"MIMAT0027375","hsa-mir-6737-5p"
"mirna","chr1",153962351,153962372,"MIMAT0027376","hsa-mir-6737-3p"
"mirna","chr1",154104562,154104583,"MIMAT0022491","hsa-mir-5698"
"mirna_primary_transcript","chr1",154193665,154193743,"MI0005545","hsa-mir-190b"
"mirna","chr1",154193712,154193733,"MIMAT0004929","hsa-mir-190b-5p"
"mirna","chr1",154193676,154193696,"MIMAT0037332","hsa-mir-190b-3p"
"mirna","chr1",154975703,154975719,"MIMAT0016879","hsa-mir-4258"
"mirna_primary_transcript","chr1",155195177,155195272,"MI0003560","hsa-mir-92b"
"mirna","chr1",155195196,155195217,"MIMAT0004792","hsa-mir-92b-5p"
"mirna","chr1",155195237,155195258,"MIMAT0003218","hsa-mir-92b-3p"
"mirna","chr1",155346365,155346385,"MIMAT0003219","hsa-mir-555"
"mirna_primary_transcript","chr1",155951273,155951336,"MI0022583","hsa-mir-6738"
"mirna","chr1",155951309,155951331,"MIMAT0027377","hsa-mir-6738-5p"
"mirna","chr1",155951273,155951296,"MIMAT0027378","hsa-mir-6738-3p"
"mirna_primary_transcript","chr1",156420341,156420429,"MI0000466","hsa-mir-9-1"
"mirna","chr1",156936156,156936176,"MIMAT0003945","hsa-mir-765"
"mirna","chr1",159899989,159900010,"MIMAT0016880","hsa-mir-4259"
"mirna_primary_transcript","chr1",161227186,161227261,"MI0018166","hsa-mir-5187"
"mirna","chr1",161227195,161227216,"MIMAT0021117","hsa-mir-5187-5p"
"mirna","chr1",161227237,161227257,"MIMAT0021118","hsa-mir-5187-3p"
"mirna","chr1",162157116,162157137,"MIMAT0019720","hsa-mir-4654"
"mirna_primary_transcript","chr1",162342546,162342640,"MI0003562","hsa-mir-556"
"mirna","chr1",162342561,162342582,"MIMAT0003220","hsa-mir-556-5p"
"mirna","chr1",162342600,162342621,"MIMAT0004793","hsa-mir-556-3p"
"mirna","chr1",165907923,165907944,"MIMAT0018078","hsa-mir-3658"
"mirna","chr1",166154773,166154797,"MIMAT0004971","hsa-mir-921"
"mirna_primary_transcript","chr1",167998660,167998726,"MI0006436","hsa-mir-1255b-2"
"mirna","chr1",167998699,167998720,"MIMAT0022725","hsa-mir-1255b-2-3p"
"mirna","chr1",168375584,168375606,"MIMAT0003221","hsa-mir-557"
"mirna_primary_transcript","chr1",170151378,170151462,"MI0014134","hsa-mir-3119-1"
"mirna_primary_transcript","chr1",170151378,170151462,"MI0014135","hsa-mir-3119-2"
"mirna","chr1",171101738,171101758,"MIMAT0005885","hsa-mir-1295a"
"mirna_primary_transcript","chr1",171101739,171101798,"MI0019146","hsa-mir-1295b"
"mirna","chr1",171101739,171101759,"MIMAT0022293","hsa-mir-1295b-5p"
"mirna","chr1",171101777,171101798,"MIMAT0022294","hsa-mir-1295b-3p"
"mirna_primary_transcript","chr1",172138798,172138907,"MI0000290","hsa-mir-214"
"mirna","chr1",172138857,172138878,"MIMAT0004564","hsa-mir-214-5p"
"mirna","chr1",172138816,172138837,"MIMAT0000271","hsa-mir-214-3p"
"mirna_primary_transcript","chr1",172138808,172138888,"MI0014136","hsa-mir-3120"
"mirna","chr1",172138858,172138878,"MIMAT0014982","hsa-mir-3120-3p"
"mirna","chr1",172138820,172138840,"MIMAT0019198","hsa-mir-3120-5p"
"mirna_primary_transcript","chr1",172144535,172144644,"MI0000281","hsa-mir-199a-2"
"mirna","chr1",175968440,175968459,"MIMAT0039764","hsa-mir-1843"
"mirna_primary_transcript","chr1",177029363,177029445,"MI0003123","hsa-mir-488"
"mirna","chr1",177029412,177029432,"MIMAT0002804","hsa-mir-488-5p"
"mirna","chr1",177029374,177029394,"MIMAT0004763","hsa-mir-488-3p"
"mirna","chr1",178677763,178677784,"MIMAT0018939","hsa-mir-4424"
"mirna","chr1",179803938,179803959,"MIMAT0049010","hsa-mir-12116"
"mirna_primary_transcript","chr1",180438314,180438390,"MI0014137","hsa-mir-3121"
"mirna","chr1",180438323,180438344,"MIMAT0014983","hsa-mir-3121-3p"
"mirna","chr1",180438358,180438379,"MIMAT0019199","hsa-mir-3121-5p"
"mirna","chr1",192716333,192716349,"MIMAT0018941","hsa-mir-4426"
"mirna","chr1",193136552,193136573,"MIMAT0005936","hsa-mir-1278"
"mirna_primary_transcript","chr1",196582413,196582481,"MI0017372","hsa-mir-4735"
"mirna","chr1",196582453,196582474,"MIMAT0019860","hsa-mir-4735-5p"
"mirna","chr1",196582417,196582437,"MIMAT0019861","hsa-mir-4735-3p"
"mirna_primary_transcript","chr1",198858873,198858982,"MI0000270","hsa-mir-181b-1"
"mirna","chr1",198858887,198858907,"MIMAT0022692","hsa-mir-181b-3p"
"mirna_primary_transcript","chr1",198859044,198859153,"MI0000289","hsa-mir-181a-1"
"mirna","chr1",198859069,198859090,"MIMAT0000270","hsa-mir-181a-3p"
"mirna","chr1",201719579,201719600,"MIMAT0021122","hsa-mir-5191"
"mirna","chr1",201808615,201808634,"MIMAT0005586","hsa-mir-1231"
"mirna_primary_transcript","chr1",201863373,201863447,"MI0022584","hsa-mir-6739"
"mirna","chr1",201863378,201863399,"MIMAT0027379","hsa-mir-6739-5p"
"mirna","chr1",201863427,201863447,"MIMAT0027380","hsa-mir-6739-3p"
"mirna_primary_transcript","chr1",202003124,202003236,"MI0022585","hsa-mir-6740"
"mirna","chr1",202003129,202003150,"MIMAT0027381","hsa-mir-6740-5p"
"mirna","chr1",202003215,202003236,"MIMAT0027382","hsa-mir-6740-3p"
"mirna_primary_transcript","chr1",205448302,205448398,"MI0000810","hsa-mir-135b"
"mirna","chr1",205448361,205448383,"MIMAT0000758","hsa-mir-135b-5p"
"mirna","chr1",205448323,205448344,"MIMAT0004698","hsa-mir-135b-3p"
"mirna_primary_transcript","chr1",206474803,206474864,"MI0022706","hsa-mir-6769b"
"mirna","chr1",206474808,206474830,"MIMAT0027620","hsa-mir-6769b-5p"
"mirna","chr1",206474844,206474864,"MIMAT0027621","hsa-mir-6769b-3p"
"mirna_primary_transcript","chr1",207801852,207801939,"MI0000735","hsa-mir-29c"
"mirna","chr1",207801903,207801924,"MIMAT0004673","hsa-mir-29c-5p"
"mirna","chr1",207801865,207801886,"MIMAT0000681","hsa-mir-29c-3p"
"mirna_primary_transcript","chr1",207802443,207802523,"MI0000107","hsa-mir-29b-2"
"mirna","chr1",207802492,207802513,"MIMAT0004515","hsa-mir-29b-2-5p"
"mirna_primary_transcript","chr1",209432133,209432242,"MI0000285","hsa-mir-205"
"mirna","chr1",209432166,209432187,"MIMAT0000266","hsa-mir-205-5p"
"mirna","chr1",209432203,209432223,"MIMAT0009197","hsa-mir-205-3p"
"mirna","chr1",209623482,209623500,"MIMAT0016881","hsa-mir-4260"
"mirna","chr1",212077622,212077643,"MIMAT0014984","hsa-mir-3122"
"mirna_primary_transcript","chr1",220117853,220117962,"MI0000291","hsa-mir-215"
"mirna","chr1",220117916,220117936,"MIMAT0000272","hsa-mir-215-5p"
"mirna","chr1",220117877,220117899,"MIMAT0026476","hsa-mir-215-3p"
"mirna_primary_transcript","chr1",220118157,220118241,"MI0000488","hsa-mir-194-1"
"mirna_primary_transcript","chr1",220200538,220200619,"MI0006442","hsa-mir-664a"
"mirna","chr1",220200586,220200609,"MIMAT0005948","hsa-mir-664a-5p"
"mirna","chr1",220200549,220200571,"MIMAT0005949","hsa-mir-664a-3p"
"mirna_primary_transcript","chr1",224257040,224257110,"MI0003839","hsa-mir-320b-2"
"mirna_primary_transcript","chr1",224398227,224398311,"MI0017380","hsa-mir-4742"
"mirna","chr1",224398289,224398311,"MIMAT0019872","hsa-mir-4742-5p"
"mirna","chr1",224398227,224398249,"MIMAT0019873","hsa-mir-4742-3p"
"mirna_primary_transcript","chr1",225922080,225922142,"MI0022586","hsa-mir-6741"
"mirna","chr1",225922116,225922137,"MIMAT0027383","hsa-mir-6741-5p"
"mirna","chr1",225922080,225922101,"MIMAT0027384","hsa-mir-6741-3p"
"mirna_primary_transcript","chr1",227941590,227941683,"MI0017876","hsa-mir-5008"
"mirna","chr1",227941641,227941662,"MIMAT0021039","hsa-mir-5008-5p"
"mirna","chr1",227941610,227941630,"MIMAT0021040","hsa-mir-5008-3p"
"mirna_primary_transcript","chr1",228097263,228097341,"MI0016011","hsa-mir-3620"
"mirna","chr1",228097320,228097341,"MIMAT0018001","hsa-mir-3620-3p"
"mirna","chr1",228097285,228097306,"MIMAT0022967","hsa-mir-3620-5p"
"mirna_primary_transcript","chr1",228397048,228397109,"MI0022587","hsa-mir-6742"
"mirna","chr1",228397083,228397104,"MIMAT0027385","hsa-mir-6742-5p"
"mirna","chr1",228397048,228397067,"MIMAT0027386","hsa-mir-6742-3p"
"mirna_primary_transcript","chr1",228462074,228462152,"MI0017296","hsa-mir-4666a"
"mirna","chr1",228462083,228462103,"MIMAT0019741","hsa-mir-4666a-5p"
"mirna","chr1",228462125,228462145,"MIMAT0019742","hsa-mir-4666a-3p"
"mirna","chr1",231019841,231019863,"MIMAT0005827","hsa-mir-1182"
"mirna","chr1",233624195,233624215,"MIMAT0018942","hsa-mir-4427"
"mirna_primary_transcript","chr1",234306467,234306539,"MI0017302","hsa-mir-4671"
"mirna","chr1",234306476,234306497,"MIMAT0019752","hsa-mir-4671-5p"
"mirna","chr1",234306512,234306532,"MIMAT0019753","hsa-mir-4671-3p"
"mirna_primary_transcript","chr1",235190034,235190116,"MI0017392","hsa-mir-4753"
"mirna","chr1",235190086,235190107,"MIMAT0019890","hsa-mir-4753-5p"
"mirna","chr1",235190040,235190061,"MIMAT0019891","hsa-mir-4753-3p"
"mirna_primary_transcript","chr1",235853000,235853060,"MI0007258","hsa-mir-1537"
"mirna","chr1",235853000,235853021,"MIMAT0007399","hsa-mir-1537-3p"
"mirna","chr1",235853037,235853058,"MIMAT0026765","hsa-mir-1537-5p"
"mirna","chr1",237471164,237471185,"MIMAT0018943","hsa-mir-4428"
"mirna","chr1",241132320,241132336,"MIMAT0014985","hsa-mir-3123"
"mirna_primary_transcript","chr1",243346176,243346255,"MI0017308","hsa-mir-4677"
"mirna","chr1",243346188,243346209,"MIMAT0019760","hsa-mir-4677-5p"
"mirna","chr1",243346225,243346246,"MIMAT0019761","hsa-mir-4677-3p"
"mirna","chr1",247202016,247202041,"MIMAT0018190","hsa-mir-3916"
"mirna_primary_transcript","chr1",248826377,248826443,"MI0014140","hsa-mir-3124"
"mirna","chr1",248826383,248826403,"MIMAT0014986","hsa-mir-3124-5p"
"mirna","chr1",248826418,248826439,"MIMAT0019200","hsa-mir-3124-3p"
"mirna_primary_transcript","chr10",641689,641778,"MI0019306","hsa-mir-5699"
"mirna","chr10",641699,641720,"MIMAT0022492","hsa-mir-5699-3p"
"mirna","chr10",641748,641769,"MIMAT0027103","hsa-mir-5699-5p"
"mirna","chr10",2076031,2076052,"MIMAT0023697","hsa-mir-6072"
"mirna","chr10",3991178,3991196,"MIMAT0023703","hsa-mir-6078"
"mirna","chr10",6152247,6152267,"MIMAT0015029","hsa-mir-3155a"
"mirna","chr10",6152209,6152226,"MIMAT0019012","hsa-mir-3155b"
"mirna","chr10",12130792,12130812,"MIMAT0019013","hsa-mir-548ak"
"mirna","chr10",12578796,12578816,"MIMAT0019014","hsa-mir-4480"
"mirna","chr10",12653181,12653197,"MIMAT0019015","hsa-mir-4481"
"mirna","chr10",12725325,12725346,"MIMAT0011163","hsa-mir-548q"
"mirna","chr10",14383210,14383226,"MIMAT0016848","hsa-mir-4293"
"mirna","chr10",14436589,14436610,"MIMAT0005918","hsa-mir-1265"
"mirna_primary_transcript","chr10",17845107,17845193,"MI0003127","hsa-mir-511"
"mirna","chr10",17845122,17845142,"MIMAT0002808","hsa-mir-511-5p"
"mirna","chr10",17845160,17845179,"MIMAT0026606","hsa-mir-511-3p"
"mirna","chr10",20552015,20552036,"MIMAT0019757","hsa-mir-4675"
"mirna_primary_transcript","chr10",21496562,21496641,"MI0008336","hsa-mir-1915"
"mirna","chr10",21496609,21496630,"MIMAT0007891","hsa-mir-1915-5p"
"mirna","chr10",21496576,21496595,"MIMAT0007892","hsa-mir-1915-3p"
"mirna","chr10",24275745,24275766,"MIMAT0003271","hsa-mir-603"
"mirna","chr10",28289319,28289340,"MIMAT0031013","hsa-mir-8086"
"mirna","chr10",29545019,29545037,"MIMAT0003272","hsa-mir-604"
"mirna","chr10",29602311,29602332,"MIMAT0004981","hsa-mir-938"
"mirna_primary_transcript","chr10",30368597,30368665,"MI0023623","hsa-mir-7162"
"mirna","chr10",30368648,30368665,"MIMAT0028234","hsa-mir-7162-5p"
"mirna","chr10",30368597,30368615,"MIMAT0028235","hsa-mir-7162-3p"
"mirna","chr10",35079609,35079629,"MIMAT0017988","hsa-mir-3611"
"mirna","chr10",35641181,35641203,"MIMAT0019768","hsa-mir-4683"
"mirna","chr10",42997630,42997651,"MIMAT0022259","hsa-mir-5100"
"mirna_primary_transcript","chr10",45164014,45164088,"MI0014184","hsa-mir-3156-1"
"mirna","chr10",48985561,48985577,"MIMAT0016849","hsa-mir-4294"
"mirna_primary_transcript","chr10",51299573,51299655,"MI0003618","hsa-mir-605"
"mirna","chr10",51299588,51299610,"MIMAT0003273","hsa-mir-605-5p"
"mirna","chr10",51299623,51299644,"MIMAT0026621","hsa-mir-605-3p"
"mirna_primary_transcript","chr10",54607874,54607957,"MI0006374","hsa-mir-548f-1"
"mirna","chr10",54607926,54607947,"MIMAT0026739","hsa-mir-548f-5p"
"mirna","chr10",57304489,57304510,"MIMAT0018199","hsa-mir-3924"
"mirna_primary_transcript","chr10",63372957,63373048,"MI0003780","hsa-mir-1296"
"mirna","chr10",63373012,63373033,"MIMAT0005794","hsa-mir-1296-5p"
"mirna","chr10",63372969,63372990,"MIMAT0026637","hsa-mir-1296-3p"
"mirna_primary_transcript","chr10",67403351,67403410,"MI0023611","hsa-mir-7151"
"mirna","chr10",67403388,67403410,"MIMAT0028212","hsa-mir-7151-5p"
